"parameter","mean","sd","2.5%","10%","50%","90%","97.5%","Rhat","n.eff"
"phi1[2]",0.04,0.18,-0.32,-0.18,0.04,0.27,0.39,1,4354
"phi1[3]",0.32,0.59,-0.86,-0.43,0.33,1.05,1.45,1,1623
"phi1[4]",1.1,0.72,-0.33,0.18,1.11,2.01,2.52,1,1371
"phi2[1]",-1.17,0.24,-1.68,-1.48,-1.16,-0.87,-0.74,1.01,691
"phi2[2]",-0.24,0.19,-0.62,-0.48,-0.24,-0.01,0.12,1,3389
"phi2[3]",0,0.31,-0.61,-0.39,0,0.4,0.63,1,2365
"phi2[4]",0.22,0.42,-0.62,-0.31,0.23,0.74,1.04,1,1581
"phi3[1]",-0.03,0.36,-0.7,-0.47,-0.05,0.43,0.69,1,2247
"phi3[2]",-0.15,0.39,-0.86,-0.63,-0.17,0.36,0.67,1.01,2766
"phi3[3]",-0.2,0.35,-0.91,-0.64,-0.2,0.24,0.5,1,2427
"phi3[4]",0.31,1.09,-2.58,-0.77,0.37,1.48,2.26,1.04,376
"phi5[1]",-0.25,0.23,-0.72,-0.55,-0.25,0.04,0.19,1,2642
"phi5[2]",-0.44,0.27,-1,-0.79,-0.43,-0.1,0.07,1.01,2507
"phi5[3]",0.77,0.42,-0.04,0.23,0.76,1.31,1.61,1,1611
"phi5[4]",-0.98,0.59,-2.15,-1.67,-0.98,-0.28,0.31,1.02,736
"phi6[1]",0,0.34,-0.69,-0.43,0,0.43,0.66,1,2065
"phi6[2]",0.14,0.36,-0.54,-0.31,0.14,0.6,0.87,1.01,2347
"phi6[3]",-1.37,0.56,-2.53,-2.08,-1.35,-0.67,-0.32,1,1631
"phi6[4]",1.23,0.85,-0.32,0.22,1.18,2.29,3.01,1.01,927
"det.tra.v[1,1]",0.05,0.01,0.03,0.04,0.05,0.06,0.07,1,1953
"det.tra.v[2,1]",0.05,0.01,0.03,0.04,0.05,0.05,0.06,1,3591
"det.tra.v[3,1]",0.05,0.01,0.04,0.04,0.05,0.06,0.07,1,4407
"det.tra.v[4,1]",0.07,0.01,0.06,0.06,0.07,0.08,0.09,1,5011
"det.tra.v[5,1]",0.08,0.01,0.07,0.07,0.08,0.09,0.09,1,4967
"det.tra.v[6,1]",0.06,0.01,0.05,0.06,0.06,0.07,0.08,1,3208
"det.tra.v[7,1]",0.08,0.01,0.07,0.07,0.08,0.09,0.1,1,3927
"det.tra.v[8,1]",0.1,0.01,0.08,0.09,0.1,0.12,0.12,1,5739
"det.tra.v[10,1]",0.12,0.02,0.09,0.1,0.12,0.15,0.16,1,7603
"det.tra.v[11,1]",0.13,0.02,0.1,0.11,0.13,0.16,0.18,1,5855
"det.tra.v[12,1]",0.11,0.02,0.08,0.09,0.11,0.14,0.15,1,9178
"det.tra.v[13,1]",0.1,0.01,0.07,0.08,0.1,0.12,0.13,1,9471
"det.tra.v[14,1]",0.11,0.02,0.08,0.09,0.11,0.13,0.14,1,5287
