"parameter","mean","sd","2.5%","10%","50%","90%","97.5%","Rhat","n.eff"
"p.occp[1,2,1]",0.53,0.03,0.47,0.49,0.53,0.57,0.59,1,5051
"p.occp[2,2,1]",0.48,0.04,0.41,0.43,0.48,0.53,0.55,1,4306
"p.occp[1,3,1]",0.15,0.02,0.11,0.12,0.14,0.17,0.19,1,3055
"p.occp[2,3,1]",0.12,0.02,0.08,0.09,0.12,0.15,0.17,1,2097
"p.occp[1,4,1]",0.27,0.03,0.21,0.23,0.27,0.31,0.33,1,4927
"p.occp[2,4,1]",0.3,0.03,0.23,0.26,0.3,0.34,0.36,1,3680
"p.occp[1,1,2]",0.32,0.03,0.27,0.29,0.32,0.36,0.38,1.01,1231
"p.occp[2,1,2]",0.29,0.03,0.23,0.25,0.29,0.34,0.36,1.01,1249
"p.occp[1,2,2]",0.5,0.03,0.44,0.46,0.5,0.54,0.57,1,4779
"p.occp[2,2,2]",0.43,0.04,0.34,0.37,0.43,0.49,0.51,1,4629
"p.occp[1,3,2]",0.15,0.02,0.11,0.12,0.15,0.17,0.19,1,2992
"p.occp[2,3,2]",0.13,0.02,0.08,0.1,0.13,0.16,0.17,1,1938
"p.occp[1,4,2]",0.27,0.03,0.21,0.23,0.27,0.3,0.32,1,4480
"p.occp[2,4,2]",0.3,0.04,0.23,0.25,0.3,0.34,0.37,1,2732
"p.occp[1,1,3]",0.34,0.03,0.28,0.3,0.34,0.38,0.4,1.01,1397
"p.occp[2,1,3]",0.32,0.03,0.26,0.28,0.32,0.37,0.39,1.01,1384
"p.occp[1,2,3]",0.55,0.03,0.49,0.51,0.55,0.59,0.61,1,4929
"p.occp[2,2,3]",0.54,0.04,0.46,0.49,0.54,0.58,0.6,1,4269
"p.occp[1,3,3]",0.14,0.02,0.1,0.11,0.14,0.16,0.18,1,2618
"p.occp[2,3,3]",0.11,0.02,0.07,0.08,0.11,0.14,0.16,1,1880
"p.occp[1,4,3]",0.28,0.03,0.22,0.24,0.28,0.32,0.34,1,5063
"p.occp[2,4,3]",0.31,0.04,0.25,0.27,0.31,0.36,0.38,1,4961
"p.occp[1,1,4]",0.34,0.03,0.28,0.3,0.34,0.38,0.41,1.01,1420
"p.occp[2,1,4]",0.33,0.04,0.25,0.28,0.33,0.37,0.4,1.01,1592
"p.occp[1,2,4]",0.57,0.03,0.51,0.53,0.57,0.62,0.64,1,4401
"p.occp[2,2,4]",0.61,0.04,0.52,0.55,0.61,0.66,0.69,1,3753
"p.occp[1,3,4]",0.13,0.02,0.09,0.1,0.12,0.15,0.17,1,2276
"p.occp[2,3,4]",0.08,0.02,0.04,0.05,0.08,0.11,0.13,1,1676
"p.occp[1,4,4]",0.3,0.03,0.23,0.25,0.29,0.34,0.36,1,5111
"p.occp[2,4,4]",0.35,0.05,0.27,0.3,0.35,0.41,0.45,1,4535
"p.occp[1,1,5]",0.33,0.03,0.27,0.29,0.33,0.37,0.39,1.01,1383
"p.occp[2,1,5]",0.31,0.03,0.25,0.27,0.31,0.35,0.37,1.01,1191
"p.occp[1,2,5]",0.51,0.03,0.45,0.47,0.51,0.55,0.57,1,5030
"p.occp[2,2,5]",0.45,0.03,0.38,0.4,0.45,0.49,0.51,1,4645
"p.occp[1,3,5]",0.15,0.02,0.12,0.13,0.15,0.18,0.19,1,3322
"p.occp[2,3,5]",0.14,0.02,0.1,0.11,0.14,0.17,0.18,1,2747
"p.occp[1,4,5]",0.26,0.03,0.21,0.23,0.26,0.3,0.32,1,4557
"p.occp[2,4,5]",0.27,0.03,0.21,0.23,0.27,0.31,0.33,1,3994
